time	V(rpm)	I(L1)
2.095745632032599e+00	7.472607e+02	1.101001e+00
2.286372632032611e+00	7.472607e+02	1.101001e+00
2.477255632032624e+00	7.472607e+02	1.101001e+00
2.668650632032636e+00	7.472607e+02	1.101001e+00
2.859022632032648e+00	7.472607e+02	1.101001e+00
3.049395632032661e+00	7.472607e+02	1.101001e+00
3.239770632032673e+00	7.472607e+02	1.101001e+00
3.430149632032685e+00	7.472607e+02	1.101001e+00
3.620536632032697e+00	7.472607e+02	1.101001e+00
3.810939632032710e+00	7.472607e+02	1.101001e+00
4.001374632032721e+00	7.472607e+02	1.101001e+00
4.191873632032734e+00	7.472607e+02	1.101001e+00
4.382500632032746e+00	7.472607e+02	1.101001e+00
4.573383632032758e+00	7.472607e+02	1.101001e+00
4.764778632032771e+00	7.472607e+02	1.101001e+00
4.955150632032783e+00	7.472607e+02	1.101001e+00
5.145523632032796e+00	7.472607e+02	1.101001e+00
5.335898632032808e+00	7.472607e+02	1.101001e+00
5.526277632032820e+00	7.472607e+02	1.101001e+00
5.716664632032832e+00	7.472607e+02	1.101001e+00
5.907067632032844e+00	7.472607e+02	1.101001e+00
6.097502632032857e+00	7.472607e+02	1.101001e+00
6.288001632032869e+00	7.472607e+02	1.101001e+00
6.478628632032882e+00	7.472607e+02	1.101001e+00
6.669511632032894e+00	7.472607e+02	1.101001e+00
6.860906632032906e+00	7.472607e+02	1.101001e+00
7.051278632032918e+00	7.472607e+02	1.101001e+00
7.241651632032931e+00	7.472607e+02	1.101001e+00
7.432026632032943e+00	7.472607e+02	1.101001e+00
7.622405632032955e+00	7.472607e+02	1.101001e+00
7.812792632032967e+00	7.472607e+02	1.101001e+00
8.003195632032977e+00	7.472607e+02	1.101001e+00
8.193630632032907e+00	7.472607e+02	1.101001e+00
8.384129632032836e+00	7.472607e+02	1.101001e+00
8.574756632032766e+00	7.472607e+02	1.101001e+00
8.765639632032697e+00	7.472607e+02	1.101001e+00
8.957034632032626e+00	7.472607e+02	1.101001e+00
9.147406632032554e+00	7.472607e+02	1.101001e+00
9.337779632032484e+00	7.472607e+02	1.101001e+00
9.528154632032415e+00	7.472607e+02	1.101001e+00
9.718533632032344e+00	7.472607e+02	1.101001e+00
9.908920632032274e+00	7.472607e+02	1.101001e+00
1.001000000000000e+01	7.472607e+02	1.101001e+00
1.001006898062776e+01	7.472617e+02	1.095498e+00
1.001013796125553e+01	7.472601e+02	1.088140e+00
1.001020694188329e+01	7.472560e+02	1.078928e+00
1.001027592251106e+01	7.472492e+02	1.067861e+00
1.001034490313882e+01	7.472399e+02	1.054940e+00
1.001041388376659e+01	7.472280e+02	1.040165e+00
1.001048286439435e+01	7.472134e+02	1.023535e+00
1.001125086439436e+01	7.468062e+02	8.421528e-01
1.001159186439437e+01	7.464826e+02	7.608110e-01
1.001193286439437e+01	7.460723e+02	6.796175e-01
1.001227386439438e+01	7.455754e+02	5.985723e-01
1.001261486439438e+01	7.449918e+02	5.176753e-01
1.001295586439439e+01	7.443216e+02	4.369266e-01
1.001329686439439e+01	7.435648e+02	3.563261e-01
1.001363786439439e+01	7.427214e+02	2.758740e-01
